 
",Alabama,1,2019,2019,1st to 3rd month,1,At least one checked,0,436"
",Alabama,1,2019,2019,1st to 3rd month,1,None checked,1,40688"
",Alabama,1,2019,2019,4th to 6th month,2,At least one checked,0,113"
",Alabama,1,2019,2019,4th to 6th month,2,None checked,1,12416"
",Alabama,1,2019,2019,7th to final month,3,At least one checked,0,28"
",Alabama,1,2019,2019,7th to final month,3,None checked,1,3073"
",Alabama,1,2019,2019,No prenatal care,4,At least one checked,0,35"
",Alabama,1,2019,2019,No prenatal care,4,None checked,1,1444"
",Alabama,1,2019,2019,Unknown or Not Stated,5,At least one checked,0,12"
",Alabama,1,2019,2019,Unknown or Not Stated,5,None checked,1,364"
",Alaska,2,2019,2019,1st to 3rd month,1,At least one checked,0,175"
",Alaska,2,2019,2019,1st to 3rd month,1,None checked,1,6938"
",Alaska,2,2019,2019,1st to 3rd month,1,Unknown or Not Stated,9,51"
",Alaska,2,2019,2019,4th to 6th month,2,At least one checked,0,42"
",Alaska,2,2019,2019,4th to 6th month,2,None checked,1,1724"
",Alaska,2,2019,2019,4th to 6th month,2,Unknown or Not Stated,9,19"
",Alaska,2,2019,2019,7th to final month,3,None checked,1,454"
",Alaska,2,2019,2019,No prenatal care,4,None checked,1,84"
",Alaska,2,2019,2019,Unknown or Not Stated,5,None checked,1,299"
",Arizona,4,2019,2019,1st to 3rd month,1,At least one checked,0,658"
",Arizona,4,2019,2019,1st to 3rd month,1,None checked,1,54703"
",Arizona,4,2019,2019,4th to 6th month,2,At least one checked,0,177"
",Arizona,4,2019,2019,4th to 6th month,2,None checked,1,14236"
",Arizona,4,2019,2019,7th to final month,3,At least one checked,0,83"
",Arizona,4,2019,2019,7th to final month,3,None checked,1,5461"
",Arizona,4,2019,2019,No prenatal care,4,At least one checked,0,62"
",Arizona,4,2019,2019,No prenatal care,4,None checked,1,2021"
",Arizona,4,2019,2019,Unknown or Not Stated,5,At least one checked,0,29"
",Arizona,4,2019,2019,Unknown or Not Stated,5,None checked,1,1943"
",Arkansas,5,2019,2019,1st to 3rd month,1,At least one checked,0,302"
",Arkansas,5,2019,2019,1st to 3rd month,1,None checked,1,25702"
",Arkansas,5,2019,2019,4th to 6th month,2,At least one checked,0,79"
",Arkansas,5,2019,2019,4th to 6th month,2,None checked,1,6955"
",Arkansas,5,2019,2019,7th to final month,3,At least one checked,0,24"
",Arkansas,5,2019,2019,7th to final month,3,None checked,1,2328"
",Arkansas,5,2019,2019,No prenatal care,4,At least one checked,0,10"
",Arkansas,5,2019,2019,No prenatal care,4,None checked,1,779"
",Arkansas,5,2019,2019,Unknown or Not Stated,5,None checked,1,373"
",California,6,2019,2019,1st to 3rd month,1,At least one checked,0,4257"
",California,6,2019,2019,1st to 3rd month,1,None checked,1,373265"
",California,6,2019,2019,1st to 3rd month,1,Unknown or Not Stated,9,417"
",California,6,2019,2019,4th to 6th month,2,At least one checked,0,500"
",California,6,2019,2019,4th to 6th month,2,None checked,1,46482"
",California,6,2019,2019,4th to 6th month,2,Unknown or Not Stated,9,131"
",California,6,2019,2019,7th to final month,3,At least one checked,0,109"
",California,6,2019,2019,7th to final month,3,None checked,1,12438"
",California,6,2019,2019,7th to final month,3,Unknown or Not Stated,9,49"
",California,6,2019,2019,No prenatal care,4,At least one checked,0,68"
",California,6,2019,2019,No prenatal care,4,None checked,1,3321"
",California,6,2019,2019,No prenatal care,4,Unknown or Not Stated,9,27"
",California,6,2019,2019,Unknown or Not Stated,5,At least one checked,0,40"
",California,6,2019,2019,Unknown or Not Stated,5,None checked,1,5324"
",California,6,2019,2019,Unknown or Not Stated,5,Unknown or Not Stated,9,51"
",Colorado,8,2019,2019,1st to 3rd month,1,At least one checked,0,658"
